Tag(English),Tag(Japanese)
hand_up,手を上げて
elbow_gloves,エルボーグローブ
midriff,へそ出し
looking_back,振り返っている
cloud,雲
white_gloves,白手袋
signature,サイン
bowtie,ボウタイ
hood,フード
sword,剣
black_skirt,黒スカート
dark_skin,濃い肌
2boys,2人の男の子
cat_ears,猫耳
blunt_bangs,まっすぐ前髪
hair_flower,髪飾りの花
official_alternate_costume,公式別衣装
tongue_out,舌を出して
sex,性行為
spread_legs,脚を広げて
pink_eyes,ピンクの目
sailor_collar,セーラーカラー
wide_sleeves,広袖
miniskirt,ミニスカート
stomach,お腹
fingerless_gloves,フィンガーレスグローブ
cum,精液
on_back,仰向け
tears,涙
black_footwear,黒靴
grey_background,灰色背景
3girls,3人の女の子
armpits,脇の下
twitter_username,Twitterユーザー名
kimono,着物
white_dress,白ドレス
holding_weapon,武器を持って
off_shoulder,オフショルダー
necklace,ネックレス
striped_clothes,ストライプ服
hair_bun,お団子ヘア
nail_polish,マニキュア
from_behind,後ろから
star_(symbol),星（記号）
mole,ほくろ
looking_at_another,他人を見て
water,水
hair_over_one_eye,片目が髪で隠れている
bag,バッグ
rabbit_ears,ウサギ耳
chibi,ちびキャラ
orange_hair,オレンジ髪
blurry,ぼやけ
grin,ニヤリ
sweatdrop,汗滴
clothes_lift,服を持ち上げて
black_dress,黒ドレス
scarf,スカーフ
cape,ケープ
white_thighhighs,白太ももソックス
black_eyes,黒い目
two-tone_hair,ツートンカラーの髪
english_text,英語テキスト
speech_bubble,吹き出し
streaked_hair,ストリーク入り髪
bra,ブラジャー
yuri,百合
armor,鎧
huge_breasts,爆乳
vest,ベスト
open_jacket,ジャケットを開けて
halo,後光
from_side,横から
apron,エプロン
mosaic_censoring,モザイク修正
feet,足
red_bow,赤リボン
arm_up,腕を上げて
white_panties,白パンティ
leotard,レオタード
character_name,キャラ名
coat,コート
black_jacket,黒ジャケット
vaginal,膣
high_heels,ハイヒール
:o,驚き顔
collar,襟
arms_up,両手を上げて
sweater,セーター
bracelet,ブレスレット
blue_sky,青空
flat_chest,ほぼ平らな胸
twin_braids,ツインブレード
dated,年代物
uniform,ユニフォーム
side_ponytail,サイドポニーテール
animal_ear_fluff,獣耳のふわふわ
red_ribbon,赤リボン
crop_top,クロップトップ
cup,カップ
aqua_eyes,アクア色の目
dark-skinned_female,肌の濃い女性
black_shirt,黒シャツ
covered_nipples,乳首隠し
puffy_short_sleeves,パフショートスリーブ
parted_bangs,分け目前髪
completely_nude,完全裸
blue_skirt,青スカート
two_side_up,ツーサイドアップ
fingernails,爪
black_pantyhose,黒パンティストッキング
tree,木
hands_up,両手を上げて
looking_to_the_side,横を見て
v-shaped_eyebrows,V字眉
grey_eyes,灰色の目
orange_eyes,オレンジの目
legs,脚
neckerchief,ネッカチーフ
sleeves_past_wrists,袖が手首を超える
sketch,スケッチ
cat_tail,猫の尻尾
groin,股間
symbol-shaped_pupils,記号形の瞳孔
eyelashes,まつ毛
wet,濡れ
fur_trim,毛皮縁取り
see-through,透け
lips,唇
wrist_cuffs,手首カフス
hand_on_own_hip,自分の腰に手
loli,ロリ
pillow,枕
head_tilt,首かしげ
gun,銃
maid,メイド
strapless,ストラップレス
zettai_ryouiki,絶対領域
clothing_cutout,服の切り抜き
black_headwear,黒頭部装飾
plaid,チェック
bar_censor,バー修正
torn_clothes,破れた服
mole_under_eye,目の下のほくろ
fox_ears,狐耳
toes,つま先
multiple_views,複数視点
one-piece_swimsuit,ワンピース水着
book,本
sash,飾り帯
maid_headdress,メイド頭飾り
sleeveless_shirt,ノースリーブシャツ
short_shorts,ショートショーツ
bare_arms,腕露出
sleeveless_dress,ノースリーブドレス
feet_out_of_frame,足がフレーム外
pubic_hair,陰毛
gradient_background,グラデーション背景
ascot,アスコットタイ
shiny_skin,ツヤ肌
v,Vサイン
pokemon_(creature),ポケモン
black_panties,黒パンティ
cosplay,コスプレ
sparkle,キラキラ
no_humans,人間なし
fake_animal_ears,偽獣耳
muscular,筋肉質
petals,花びら
kneehighs,ニーハイソックス
bare_legs,素足
window,窓
uncensored,無修正
thigh_strap,太ももストラップ
black_bow,黒リボン
single_braid,一本編み
covered_navel,へそ隠し
hoodie,フーディー
neck_ribbon,首リボン
black_ribbon,黒リボン
detached_collar,取り外し襟
gradient_hair,グラデーション髪
upper_teeth_only,上歯のみ見せ
tattoo,タトゥー
dutch_angle,オランダー角
black_choker,黒チョーカー
dress_shirt,ドレスシャツ
buttons,ボタン
double_bun,ダブルお団子
blurry_background,ぼやけた背景
open_shirt,シャツを開けて
profile,横顔
sideboob,横乳
kneeling,跪いて
makeup,メイク
blood,血
bell,ベル
military,軍服
hug,抱擁
saliva,唾液
floating_hair,浮いた髪
aqua_hair,アクア色の髪
mask,仮面
pov,主観視点
colored_skin,色付き肌
skindentation,肌の窪み
swept_bangs,流れ前髪
anus,肛門
capelet,ショール
bodysuit,ボディスーツ
leaning_forward,前かがみ
facial_hair,顔の毛
4girls,4人の女の子
blue_dress,青ドレス
night,夜
shadow,影
black_pants,黒パンツ
pussy_juice,愛液
bed,ベッド
copyright_name,著作権名
no_bra,ノーブラ
black_bikini,黒ビキニ
:3,猫笑顔
4koma,4コマ
heterochromia,虹彩異色症
depth_of_field,被写界深度
nose_blush,鼻の赤み
white_headwear,白頭部装飾
red_skirt,赤スカート
alternate_hairstyle,別ヘアスタイル
blue_bow,青リボン
turtleneck,タートルネック
fruit,果物
fox_tail,狐の尻尾
^_^,幸せ顔
blue_background,青背景
border,枠線
underboob,アンダーブースト
watermark,ウォーターマーク
witch_hat,魔女帽子
cum_in_pussy,膣内射精
siblings,兄弟姉妹
highleg,ハイレグ
low_twintails,ロータイツインテール
military_uniform,軍服
expressionless,無表情
frown,しかめ面
bird,鳥
no_panties,ノーパン
on_bed,ベッドの上
rose,バラ
one_side_up,ワンサイドアップ
cameltoe,キャメルトゥ
headband,ヘアバンド
glowing,発光
black_shorts,黒ショーツ
scar,傷跡
horse_ears,馬耳
bottomless,ノーパンツ
beret,ベレー帽
ocean,海
side-tie_bikini_bottom,サイドタイビキニボトム
bed_sheet,シーツ
soles,足裏
animal,動物
brown_footwear,茶色靴
holding_hands,手をつないで
wavy_hair,ウェーブヘア
fangs,牙
halterneck,ホルターネック
thick_thighs,太い太もも
leaf,葉
chain,鎖
playboy_bunny,プレイボーイバニー
headphones,ヘッドホン
piercing,ピアス
arm_support,腕で支えて
from_above,上から
embarrassed,照れ
white_jacket,白ジャケット
holding_sword,剣を持って
white_socks,白ソックス
hair_intakes,吸い込み髪
back,背面
blush_stickers,赤面シール
chinese_clothes,中国服
white_bikini,白ビキニ
ass_visible_through_thighs,太もも間からお尻見え
erection,勃起
phone,電話
no_shoes,靴なし
facial_mark,顔の印
chair,椅子
thick_eyebrows,太い眉
plaid_skirt,チェックスカート
abs,腹筋
umbrella,傘
looking_down,下を見て
bandages,包帯
beach,ビーチ
thigh_boots,太ももブーツ
white_footwear,白靴
horse_girl,馬娘
half-closed_eyes,半目
headgear,ヘッドギア
sandals,サンダル
on_side,横向き
6+girls,6人以上の女の子
female_pubic_hair,女性陰毛
muscular_male,筋肉質男性
floral_print,花柄
heart-shaped_pupils,ハート形瞳孔
bob_cut,ボブカット
garter_straps,ガーターベルト
short_dress,ショートドレス
drill_hair,ドリルヘア
wariza,割座
arms_behind_back,腕を後ろに
sunglasses,サングラス
obi,帯
happy,幸せ
pectorals,胸筋
red_dress,赤ドレス
testicles,睾丸
shirt_lift,シャツを持ち上げて
eating,食べて
grabbing,掴んで
transparent_background,透明背景
traditional_media,伝統的媒体
pink_background,ピンク背景
flying_sweatdrops,飛び散る汗滴
mouth_hold,口を押さえて
stuffed_toy,ぬいぐるみ
dark-skinned_male,肌の濃い男性
hood_down,フード下ろし
frilled_dress,フリルドレス
squatting,しゃがんで
clothes_pull,服を引っ張って
cleavage_cutout,谷間切り抜き
white_skirt,白スカート
table,テーブル
blue_shirt,青シャツ
crossed_arms,腕組み
parody,パロディ
light_brown_hair,明るい茶髪
thigh_gap,太もも間の隙間
wavy_mouth,波打つ口
from_below,下から
hair_tubes,髪の筒状
leg_up,脚を上げて
ring,指輪
oral,オーラル
holding_food,食べ物を持って
bound,縛られて
wolf_ears,狼耳
blue_jacket,青ジャケット
black_socks,黒ソックス
moon,月
black_hairband,黒ヘアバンド
white_flower,白い花
eyepatch,眼帯
scrunchie,スクランチ
skirt_lift,スカートを持ち上げて
sunlight,日光
standing_on_one_leg,片足立ち
white_bow,白リボン
formal,フォーマル
topless,トップレス
cat,猫
demon_girl,悪魔娘
cat_girl,猫娘
trembling,震えて
mob_cap,モブキャップ
cardigan,カーディガン
backpack,バックパック
magical_girl,魔法少女
cellphone,携帯電話
pantyshot,パンティーショット
own_hands_together,自分の手を合わせて
eyes_visible_through_hair,髪越しに目が見える
crossed_legs,足組み
frilled_skirt,フリルスカート
grass,草
demon_horns,悪魔の角
crying,泣いて
sharp_teeth,鋭い歯
tank_top,タンクトップ
sleeping,眠って
cover,カバー
single_hair_bun,単お団子
cloudy_sky,曇り空
blazer,ブレザー
suspenders,サスペンダー
high_ponytail,ハイポニーテール
helmet,ヘルメット
suit,スーツ
feathers,羽
3boys,3人の男の子
cum_on_body,体上の精液
bottle,ボトル
stuffed_animal,ぬいぐるみ
x_hair_ornament,X字髪飾り
underwear_only,下着のみ
bdsm,BDSM
fox_girl,狐娘
plant,植物
black_background,黒背景
blue_ribbon,青リボン
frilled_sleeves,フリル袖
grabbing_another's_breast,他人の胸を掴んで
portrait,ポートレート
antenna_hair,アンテナヘア
looking_up,上を見て
light_smile,微笑み
bara,バラ
school_swimsuit,スクール水着
straddling,またがって
cross,十字架
hat_ribbon,帽子のリボン
fire,炎
bug,虫
denim,デニム
crown,王冠
knee_boots,ニーブーツ
pink_bow,ピンクリボン
;d,ウインク笑顔
red_necktie,赤ネクタイ
lifted_by_self,自分で持ち上げて
outstretched_arms,腕を広げて
fellatio,フェラチオ
tiara,ティアラ
katana,刀
couple,カップル
breasts_out,胸露出
aged_down,幼児化
red_flower,赤い花
on_stomach,うつ伏せ
crossover,クロスオーバー
juliet_sleeves,ジュリエットスリーブ
robot,ロボット
curtains,カーテン
motion_lines,動き線
spiked_hair,トゲトゲヘア
sisters,姉妹
sex_from_behind,後背位
girl_on_top,女上位
polka_dot,水玉模様
>_<,照れ顔
black_nails,黒爪
knife,ナイフ
bat_wings,コウモリの翼
ear_piercing,耳ピアス
outstretched_arm,腕を伸ばして
?,疑問符
slit_pupils,縦長瞳孔
wing_collar,ウィングカラー
bent_over,前屈み
pointing,指差し
lingerie,ランジェリー
animal_print,アニマルプリント
clenched_teeth,歯を食いしばって
bright_pupils,輝く瞳孔
red_shirt,赤シャツ
elf,エルフ
5girls,5人の女の子
undressing,服を脱いで
striped_thighhighs,ストライプ太ももソックス
blue_sailor_collar,青セーラーカラー
monster_girl,モンスター娘
rabbit_tail,ウサギの尻尾
sneakers,スニーカー
black_leotard,黒レオタード
hand_on_own_chest,自分の胸に手
white_border,白枠
t-shirt,Tシャツ
tassel,タッセル
holding_gun,銃を持って
head_wings,頭翼
all_fours,四つん這い
gem,宝石
yaoi,やおい
red_footwear,赤靴
white_apron,白エプロン
tan,日焼け
bondage,緊縛
red_bowtie,赤ボウタイ
furry,ファーリー
hair_bobbles,ヘアボボ
short_twintails,ショートツインテール
messy_hair,乱れた髪
lipstick,口紅
green_skirt,緑スカート
goggles,ゴーグル
shoulder_armor,肩当て
holding_cup,カップを持って
brooch,ブローチ
building,建物
group_sex,集団性交
polearm,ポールウェポン
black_bra,黒ブラ
horse_tail,馬の尻尾
otoko_no_ko,男の娘
fishnets,網タイツ
staff,杖
shaded_face,陰り顔
1other,1人のその他
letterboxed,レターボックス
loafers,ローファー
crescent,三日月
towel,タオル
straight_hair,ストレートヘア
star_(sky),星（空）
cherry_blossoms,桜
single_thighhigh,片方太ももソックス
kiss,キス
feathered_wings,羽根の翼
clenched_hand,握り拳
bandaid,絆創膏
pink_dress,ピンクドレス
^^^,嬉しい
strapless_leotard,ストラップレスレオタード
box,箱
hat_bow,帽子のリボン
wind,風
facing_viewer,鑑賞者に向いて
grey_shirt,灰色シャツ
black_necktie,黒ネクタイ
multiple_tails,複数の尻尾
drooling,よだれ
no_pants,ノーパンツ
extra_ears,追加の耳
eyewear_on_head,頭上眼鏡
demon_tail,悪魔の尻尾
steam,湯気
bike_shorts,バイクショーツ
yellow_background,黄色背景
dog_ears,犬耳
hooded_jacket,フード付きジャケット
armband,腕章
instrument,楽器
casual,カジュアル
butterfly,蝶
surprised,驚き
night_sky,夜空
panty_pull,パンティを引っ張って
foreshortening,短縮法
sex_toy,性具
pale_skin,青白い肌
child,子供
breast_press,胸を押して
revealing_clothes,露出度の高い服
anal,アナル
red_headwear,赤頭部装飾
gauntlets,ガントレット
white_ribbon,白リボン
rope,ロープ
sheath,鞘
china_dress,チャイナドレス
ribbon_trim,リボン縁取り
pink_panties,ピンクパンティ
adapted_costume,アレンジ衣装
knees_up,膝を立てて
multicolored_clothes,カラフル服
cover_page,表紙
candy,キャンディ
wristband,リストバンド
between_breasts,胸の谷間
red_background,赤背景
couch,ソファ
hakama,袴
blouse,ブラウス
wet_clothes,濡れた服
musical_note,音符
colored_inner_hair,内側カラー髪
hair_over_shoulder,肩にかかる髪
ejaculation,射精
scenery,風景
skin_fang,肌牙
puffy_long_sleeves,パフロングスリーブ
arms_behind_head,頭の後ろに腕
veil,ベール
nature,自然
breath,息
male_pubic_hair,男性陰毛
red_jacket,赤ジャケット
genderswap,性別変換
mole_under_mouth,口の下のほくろ
red_nails,赤爪
lace_trim,レース縁取り
covering_privates,局部を隠して
side_braid,サイドブレード
third_eye,第三の目
scar_on_face,顔の傷跡
waist_apron,腰エプロン
smartphone,スマートフォン
microphone,マイク
facial,フェイシャル
skirt_set,スカートセット
christmas,クリスマス
web_address,ウェブアドレス
large_pectorals,大胸筋
pink_flower,ピンクの花
pelvic_curtain,恥骨カーテン
light_blush,薄い赤面
...,沈黙
strapless_dress,ストラップレスドレス
anger_vein,怒りマーク
baseball_cap,野球帽
beard,ひげ
string_bikini,ストリングビキニ
interlocked_fingers,指を組んで
striped_panties,ストライプパンティ
light_particles,光の粒子
blue_headwear,青頭部装飾
claws,爪
breasts_apart,胸を離して
bridal_gauntlets,花嫁ガントレット
cloak,クローク
toenails,足の爪
peaked_cap,ピークドキャップ
index_finger_raised,人差し指を上げて
highleg_leotard,ハイレグレオタード
red_neckerchief,赤ネッカチーフ
glowing_eyes,輝く目
white_pupils,白瞳孔
short_hair_with_long_locks,ショートヘア長い房
purple_dress,紫ドレス
side-tie_panties,サイドタイパンティ
semi-rimless_eyewear,セミリムレス眼鏡
low_ponytail,ローポニーテール
white_pantyhose,白パンティストッキング
convenient_censoring,都合の良い修正
jingle_bell,鈴
motor_vehicle,自動車
hand_fan,扇子
two-tone_background,ツートン背景
grey_skirt,灰色スカート
front-tie_top,前タイトップ
bow_panties,ボウパンティ
mecha,メカ
buckle,バックル
hair_flaps,ヘアフラップ
twin_drills,ツインドリル
clothes_writing,服の文字
areola_slip,乳輪見え
carrying,抱えて
pom_pom_(clothes),ポンポン(服)
clothing_aside,服をどけて
androgynous,中性的
pink_nails,ピンク爪
micro_bikini,マイクロビキニ
angry,怒り
close-up,クローズアップ
yellow_bow,黄色リボン
maid_apron,メイドエプロン
forehead,額
sleeves_past_fingers,袖が指を超える
hood_up,フードアップ
wolf_tail,狼の尻尾
meme,ミーム
cum_on_breasts,胸上の精液
corset,コルセット
neck_bell,首ベル
blue_nails,青爪
skin_tight,スキンタイト
hand_on_own_face,自分の顔に手
paizuri,パイズリ
rifle,ライフル
o-ring,Oリング
eyeshadow,アイシャドウ
tentacles,触手
patreon_username,Patreonユーザー名
hakama_skirt,袴スカート
black_belt,黒帯
lace,レース
holding_phone,電話を持って
french_braid,フレンチブレード
no_headwear,頭部装飾なし
tokin_hat,兜巾帽子
spoken_heart,吹き出しハート
:<,不満顔
white_sleeves,白袖
cropped_jacket,クロップドジャケット
eye_contact,目が合って
curvy,曲線的
cropped_legs,脚がクロップ
faceless,顔なし
licking,舐めて
bikini_top_only,ビキニトップのみ
brown_gloves,茶手袋
crossed_bangs,クロス前髪
plate,皿
restrained,拘束されて
snow,雪
outside_border,外部枠
red_gloves,赤手袋
mary_janes,メアリージェーン
full_moon,満月
spikes,スパイク
tearing_up,涙ぐんで
colored_sclera,有色強膜
black_wings,黒い翼
science_fiction,SF
blue_bikini,青ビキニ
holding_book,本を持って
:p,舌出し
side_slit,サイドスリット
gift,贈り物
desk,机
black_coat,黒コート
camisole,キャミソール
alternate_breast_size,別胸サイズ
finger_to_mouth,指を口に
ball,ボール
strap_slip,ストラップ落ち
armlet,アームレット
green_bow,緑リボン
single_horn,一本角
lens_flare,レンズフレア
cowgirl_position,カウガールポジション
floating,浮遊
dragon_horns,竜の角
drinking_glass,グラス
hair_scrunchie,ヘアスクランチ
arm_at_side,腕を横に
sleeves_rolled_up,袖をまくって
seiza,正座
genderswap_(mtf),性別変換(MTF)
gold_trim,金縁取り
puffy_nipples,膨らんだ乳首
blue_necktie,青ネクタイ
santa_hat,サンタ帽
clenched_hands,握り拳
after_sex,性交後
black_sailor_collar,黒セーラーカラー
wide_hips,広い腰
pink_skirt,ピンクスカート
single_glove,片手袋
pink_ribbon,ピンクリボン
veins,血管
smoke,煙
tareme,タレ目
white_sailor_collar,白セーラーカラー
handgun,拳銃
heavy_breathing,荒い息
between_legs,脚の間
half_updo,ハーフアップ
zipper,ジッパー
knee_up,膝を上げて
brown_background,茶背景
starry_sky,星空
masturbation,自慰
blue_flower,青い花
handjob,ハンドジョブ
tsurime,ツリ目
open_coat,コートを開けて
freckles,そばかす
blue_shorts,青ショーツ
demon_wings,悪魔の翼
wading,水に入って
pencil_skirt,ペンシルスカート
happy_birthday,誕生日おめでとう
fish,魚
green_background,緑背景
pink_shirt,ピンクシャツ
alcohol,アルコール
clothed_sex,服を着た性交
pendant,ペンダント
ribbed_sweater,リブ編みセーター
topless_male,上半身裸男性
dual_persona,二重人格
clothed_female_nude_male,服を着た女性と裸の男性
high_heel_boots,ハイヒールブーツ
track_jacket,トラックジャケット
single_earring,片耳ピアス
outline,輪郭
frilled_apron,フリルエプロン
spot_color,スポットカラー
partially_submerged,部分的に水没
tray,トレイ
low-tied_long_hair,低く結んだ長髪
asymmetrical_legwear,非対称脚衣装
swim_ring,浮き輪
sweater_vest,セーターベスト
purple_background,紫背景
cross-laced_footwear,クロスレース靴
arm_behind_back,腕を後ろに
reflection,反射
forest,森
!,感嘆符
upskirt,アップスカート
legs_up,脚を上げて
headset,ヘッドセット
black_vest,黒ベスト
frilled_bikini,フリルビキニ
walking,歩いて
cake,ケーキ
white_skin,白い肌
hair_rings,ヘアリング
beads,ビーズ
pocket,ポケット
personification,擬人化
one-hour_drawing_challenge,1時間ドローイングチャレンジ
mature_male,成熟男性
backlighting,逆光
halloween,ハロウィン
vertical-striped_clothes,縦縞服
bulge,膨らみ
dress_lift,ドレスを持ち上げて
green_dress,緑ドレス
unworn_headwear,未装着頭部装飾
frilled_shirt_collar,フリルシャツカラー
legs_apart,脚を開いて
long_fingernails,長い爪
toned,引き締まった
mole_on_breast,胸のほくろ
broom,ほうき
black-framed_eyewear,黒縁眼鏡
arm_behind_head,腕を頭の後ろに
brown_pantyhose,茶パンティストッキング
thong,Tバック
condom,コンドーム
red_bikini,赤ビキニ
short_ponytail,ショートポニーテール
out_of_frame,フレーム外
purple_bow,紫リボン
long_skirt,ロングスカート
high-waist_skirt,ハイウエストスカート
round_eyewear,丸眼鏡
crying_with_eyes_open,目を開けて泣いて
rain,雨
blue_footwear,青靴
crossdressing,クロスドレッシング
angel_wings,天使の翼
white_bra,白ブラ
cuffs,袖口
flying,飛んで
gym_uniform,体操服
cumdrip,精液滴り
purple_skirt,紫スカート
yellow_shirt,黄色シャツ
cropped_torso,胴体クロップ
one_eye_covered,片目隠し
goggles_on_head,頭上ゴーグル
bubble,泡
black_bowtie,黒ボウタイ
hand_in_own_hair,自分の髪に手
braided_ponytail,編み込みポニーテール
age_difference,年齢差
red-framed_eyewear,赤縁眼鏡
fingering,フィンガリング
epaulettes,エポレット
curly_hair,カーリーヘア
empty_eyes,虚ろな目
ribbon-trimmed_sleeves,リボン飾り袖
dot_nose,点鼻
santa_costume,サンタ衣装
futanari,ふたなり
teacup,ティーカップ
kemonomimi_mode,獣耳モード
high_collar,ハイカラー
doujin_cover,同人誌カバー
raised_eyebrows,眉を上げて
brown_jacket,茶色のジャケット
tanlines,日焼け跡
rape,レイプ
6+boys,6人以上の少年
denim_shorts,デニムショーツ
spoken_ellipsis,省略された台詞
brown_skirt,茶色のスカート
bowl,ボウル
hat_ornament,帽子の装飾
dragon_girl,竜娘
animal_hands,動物の手
hand_on_another's_head,他人の頭に手
panties_under_pantyhose,パンティストッキングの下のパンティ
innertube,浮き輪
sideburns,もみあげ
buruma,ブルマ
4boys,4人の少年
@_@,@_@
contrapposto,コントラポスト
white_pants,白いパンツ
school_bag,スクールバッグ
jitome,ジト目
nontraditional_miko,非伝統的巫女
pouch,ポーチ
thighband_pantyhose,太ももバンド付きパンティストッキング
:q,:q
emphasis_lines,強調線
doggystyle,バックスタイル
black_serafuku,黒セーラー服
faceless_male,顔のない男性
cigarette,たばこ
dual_wielding,二刀流
breast_hold,胸を押さえる
red_scarf,赤いスカーフ
fur_collar,毛皮の襟
green_jacket,緑のジャケット
abyssal_ship,深海棲艦
sailor_dress,セーラードレス
asymmetrical_hair,非対称髪型
knees_together_feet_apart,膝を閉じて足を開く
robe,ローブ
spread_pussy,股間を広げて
garter_belt,ガーターベルト
white_shorts,白いショーツ
machinery,機械類
hand_in_pocket,ポケットに手を入れて
pauldrons,ポールドロン
naughty_face,いたずらっぽい顔
competition_swimsuit,競泳水着
dog_tail,犬のしっぽ
cum_in_mouth,口中射精
legs_together,脚を閉じて
mini_person,ミニチュア人間
yellow_ribbon,黄色いリボン
lolita_fashion,ロリータファッション
head_rest,頭を預けて
running,走って
hands_on_own_hips,自分の腰に手を当てて
top_hat,シルクハット
sun_hat,サンハット
plump,ふっくら
furry_female,ケモノ女性
white_hairband,白いヘアバンド
asymmetrical_bangs,非対称前髪
ass_grab,尻を掴んで
threesome,3P
watch,腕時計
thought_bubble,思考フキダシ
fake_tail,偽のしっぽ
blood_on_face,顔の血
sunset,夕焼け
blue_one-piece_swimsuit,青いワンピース水着
twins,双子
furrowed_brow,しかめっ面
turtleneck_sweater,タートルネックセーター
monster,モンスター
dog,犬
star_hair_ornament,星形髪飾り
white_kimono,白い着物
sports_bra,スポーツブラ
under-rim_eyewear,アンダーリム眼鏡
drinking_straw,ストロー
white_wings,白い翼
grey_jacket,グレーのジャケット
aged_up,成長後
new_year,新年
poke_ball,モンスターボール
blurry_foreground,ぼやけた前景
wide-eyed,大きく見開いた目
skull,頭蓋骨
shield,盾
shiny_clothes,光沢のある服
mature_female,成熟した女性
female_masturbation,女性の自慰
white_coat,白衣
missionary,正常位
striped_shirt,ストライプシャツ
breasts_squeezed_together,胸を寄せて
impossible_clothes,不可能な服
jeans,ジーンズ
yellow_flower,黄色い花
rabbit,ウサギ
ghost,幽霊
circlet,サークレット
red_rose,赤いバラ
belt_buckle,ベルトのバックル
teddy_bear,テディベア
hair_down,髪を下ろして
blue_theme,青を基調とした
ice,氷
multicolored_eyes,二色の瞳
holding_umbrella,傘を持って
v_arms,V字に開いた腕
paper,紙
+_+,+_+
shoulder_bag,ショルダーバッグ
green_shirt,緑のシャツ
serious,真剣な
height_difference,身長差
official_alternate_hairstyle,公式別髪型
partially_fingerless_gloves,部分的に指なしの手袋
stubble,無精ひげ
spear,槍
hand_between_legs,脚の間に手
sarashi,さらし
colored_eyelashes,色付きまつげ
paw_pose,肉球ポーズ
striped_bikini,ストライプビキニ
crystal,水晶
=_=,=_=
wooden_floor,木の床
shawl,ショール
bandaged_arm,包帯を巻いた腕
injury,傷
hairpin,かんざし
rabbit_girl,ウサギ娘
rock,岩
lantern,提灯
hoop_earrings,フープイヤリング
sheathed,鞘に収めて
purple_flower,紫の花
mug,マグカップ
bouncing_breasts,揺れる胸
unworn_hat,被っていない帽子
object_insertion,オブジェクト挿入
popsicle,アイスキャンディー
blue_bowtie,青いボウタイ
lollipop,ロリポップ
long_legs,長い脚
tentacle_hair,触手髪
eyebrows_hidden_by_hair,髪に隠れた眉毛
smirk,ニヤリ
minigirl,ミニ少女
green_headwear,緑の頭飾り
wolf_girl,オオカミ娘
mirror,鏡
yukata,浴衣
upside-down,逆さま
water_drop,水滴
light_blue_hair,水色の髪
bouquet,花束
mini_hat,ミニハット
white_leotard,白いレオタード
purple_shirt,紫のシャツ
military_hat,軍帽
