Tag(English),Tag(Japanese),Count
cat_tail,猫の尻尾,8125
pink_ribbon,ピンクリボン,8122
shiny_skin,ツヤ肌,8105
pink_bow,ピンクリボン,8101
lens_flare,レンズフレア,8097
uniform,ユニフォーム,8088
pink_skirt,ピンクスカート,8050
double_bun,ダブルお団子,7986
mole_under_eye,目の下のほくろ,7944
covered_navel,へそ隠し,7938
wavy_hair,ウェーブヘア,7891
blue_jacket,青ジャケット,7862
detached_collar,取り外し襟,7861
hood_down,フード下ろし,7856
bell,ベル,7822
formal,フォーマル,7821
black_eyes,黒い目,7814
cum_on_ass,尻の精液,7806
road,道路,7770
bare_arms,腕露出,7757
sisters,姉妹,7745
head_tilt,首かしげ,7729
halterneck,ホルターネック,7721
pantyshot,パンティーショット,7681
ocean,海,7679
cat_hair_ornament,猫髪飾り,7656
ribbon_trim,リボン縁取り,7603
tachi-e,立絵,7602
white_apron,白エプロン,7584
eyes_visible_through_hair,髪越しに目が見える,7562
letterboxed,レターボックス,7560
under_covers,布団の中,7548
buttons,ボタン,7532
sheet_grab,シーツ掴み,7527
high-waist_skirt,ハイウエストスカート,7521
tiles,タイル,7514
white_bikini,白ビキニ,7509
from_side,横から,7501
leotard,レオタード,7491
torso_grab,胴体掴み,7486
medium_hair,ミディアムヘア,7461
fur_trim,毛皮縁取り,7455
fence,柵,7452
profile,横顔,7419
rabbit_ears,ウサギ耳,7409
sweater_vest,セーターベスト,7382
garter_belt,ガーターベルト,7368
side-tie_panties,サイドタイパンティ,7366
partially_submerged,部分的に水没,7364
blue_shorts,青ショーツ,7358
sleeveless_dress,ノースリーブドレス,7307
imminent_fellatio,フェラ直前,7281
blurry_background,ぼやけた背景,7079
dark_skin,濃い肌,7074
hakama_skirt,袴スカート,7071
suit,スーツ,7066
sitting_on_person,人の上に座って,6972
breast_sucking,乳首を吸って,6947
arm_at_side,腕を横に,6910
yellow_ribbon,黄色いリボン,6885
bush,茂み,6870
horns,角,6851
striped_bow,ストライプリボン,6841
breasts_squeezed_together,胸を寄せて,6815
purple_panties,紫のパンティ,6786
head_out_of_frame,枠外の頭部,6784
leg_grab,脚を掴んで,6769
on_stomach,うつ伏せ,6765
yellow_shirt,黄色シャツ,6754
frilled_panties,フリルパンティ,6747
white_pantyhose,白パンティストッキング,6740
arm_grab,腕を掴んで,6719
juliet_sleeves,ジュリエットスリーブ,6718
striped_shirt,ストライプシャツ,6657
ceiling_light,天井灯,6642
boy_on_top,男が上,6641
white_jacket,白ジャケット,6609
pink_shirt,ピンクシャツ,6609
forest,森,6603
frilled_dress,フリルドレス,6583
beret,ベレー帽,6579
white_kimono,白い着物,6558
pigeon-toed,内股,6532
butterfly_hair_ornament,蝶の髪飾り,6500
camisole,キャミソール,6469
underbust,アンダーバスト,6457
no_bra,ノーブラ,6454
eye_contact,目が合って,6437
panties_under_pantyhose,パンティストッキングの下のパンティ,6435
gradient_hair,グラデーション髪,6427
bandages,包帯,6422
yuri,百合,6415
tiara,ティアラ,6350
beach,ビーチ,6335
virtual_youtuber,バーチャルYouTuber,6334
toes,つま先,6310
lace_trim,レース縁取り,6273
hands_on_own_chest,自分の胸に手,6133
fake_animal_ears,偽獣耳,6132
red-framed_eyewear,赤縁眼鏡,6130
open_fly,開いたフライ,6108
reverse_suspended_congress,逆さ吊り騎乗位,6088
erection,勃起,6084
clenched_hands,握り拳,6054
strapless,ストラップレス,6048
lace,レース,6030
veil,ベール,6015
streaked_hair,ストリーク入り髪,5997
steepled_fingers,尖塔状の指,5989
bedroom,寝室,5971
vertical-striped_clothes,縦縞服,5970
2boys,2人の男の子,5954
jitome,ジト目,5953
white_sailor_collar,白セーラーカラー,5946
through_clothes,服越し,5934
lab_coat,白衣,5911
portrait,ポートレート,5908
sleeveless_shirt,ノースリーブシャツ,5900
bench,ベンチ,5861
blue_bikini,青ビキニ,5856
bath,風呂,5851
towel,タオル,5849
soles,足裏,5844
red_hakama,赤い袴,5835
suspenders,サスペンダー,5829
holding_sword,剣を持って,5802
tabi,足袋,5792
steam,湯気,5789
brown_skirt,茶色のスカート,5777
lamp,ランプ,5767
fingering_through_clothes,服越しのフィンガリング,5766
stuffed_toy,ぬいぐるみ,5761
yellow_panties,黄色のパンティ,5752
dark-skinned_female,肌の濃い女性,5743
grin,ニヤリ,5737
female_pubic_hair,女性陰毛,5695
track_jacket,トラックジャケット,5694
green_bra,緑のブラジャー,5688
leg_lock,脚拘束,5677
semi-rimless_eyewear,セミリムレス眼鏡,5675
against_wall,壁にもたれて,5657
red_footwear,赤靴,5654
side_braid,サイドブレード,5637
pink_dress,ピンクドレス,5634
hand_on_own_face,自分の顔に手,5595
4girls,4人の女の子,5590
swimsuit_aside,水着を脇に,5555
pantyhose_pull,パンティストッキングを引っ張って,5547
orgasm,オーガズム,5546
frilled_bra,フリルブラ,5534
bike_shorts,バイクショーツ,5534
naked_apron,裸エプロン,5527
cleavage_cutout,谷間切り抜き,5512
antenna_hair,アンテナヘア,5511
polka_dot_panties,水玉パンティ,5492
lamppost,街灯,5460
grey_shirt,灰色シャツ,5457
clothes_writing,服の文字,5456
=_=,=_=,5446
knees_to_chest,膝を胸に,5438
cross,十字架,5424
covering_privates,局部を隠して,5422
vibrator,バイブレーター,5416
chain,鎖,5415
witch_hat,魔女帽子,5408
black_bikini,黒ビキニ,5391
no_shoes,靴なし,5388
stuffed_animal,ぬいぐるみ,5364
white_hairband,白いヘアバンド,5354
grey_pants,グレーのパンツ,5350
ribbed_sweater,リブ編みセーター,5345
black_shorts,黒ショーツ,5343
greyscale,グレースケール,5340
yellow_bow,黄色リボン,5340
potted_plant,鉢植え,5324
breast_hold,胸を押さえる,5300
short_dress,ショートドレス,5259
take_your_pick,選択肢,5244
out_of_frame,フレーム外,5230
m_legs,男性の脚,5229
pink_kimono,ピンクの着物,5217
futon,布団,5216
blue_pants,青いパンツ,5212
disembodied_penis,分離したペニス,5184
sideboob,横乳,5168
red_dress,赤ドレス,5166
footjob,フットジョブ,5141
waist_apron,腰エプロン,5138
thighband_pantyhose,太ももバンド付きパンティストッキング,5130
stairs,階段,5127
french_braid,フレンチブレード,5126
hands_up,両手を上げて,5121
holding_another's_wrist,他人の手首を保持,5116
phone,電話,5112
parted_bangs,分け目前髪,5055
restrained,拘束されて,5028
groin,股間,5015
legs_up,脚を上げて,4944
grabbing_another's_ass,他人の尻を掴む,4927
shaded_face,陰り顔,4916
incest,近親相姦,4907
pink_footwear,ピンクの履物,4899
red_flower,赤い花,4887
against_tree,木にもたれる,4879
squatting,しゃがんで,4875
bikini_bottom_aside,ビキニボトムを脇へ,4867
object_insertion,オブジェクト挿入,4867
shelf,棚,4867
school_desk,学校の机,4859
wedding_dress,ウェディングドレス,4850
cross-laced_footwear,クロスレース靴,4808
animal_hood,動物型フード,4789
fishnets,網タイツ,4786
ring,指輪,4770
onsen,温泉,4769
blue_necktie,青ネクタイ,4764
waitress,ウェイトレス,4756
invisible_penis,透明な陰茎,4738
pink_jacket,ピンクのジャケット,4735
striped_bikini,ストライプビキニ,4728
corset,コルセット,4713
pocket,ポケット,4703
sparkle,キラキラ,4690
two-tone_hair,ツートンカラーの髪,4671
rabbit_hair_ornament,ウサギの髪飾り,4665
holding_own_arm,自分の腕保持,4653
thigh_strap,太ももストラップ,4650
turtleneck,タートルネック,4648
arms_at_sides,腕を下ろして,4644
sitting_on_lap,膝上座り,4622
ribbon-trimmed_sleeves,リボン飾り袖,4613
otoko_no_ko,男の娘,4592
crying,泣いて,4580
cellphone,携帯電話,4558
soap_bubbles,シャボン玉,4558
bathtub,バスタブ,4556
bikini_skirt,ビキニスカート,4544
:3,猫笑顔,4527
television,テレビ,4518
hand_on_own_cheek,自分の頬に手,4512
arms_around_neck,首に腕を回す,4510
high_ponytail,ハイポニーテール,4502
street,通り,4492
cabinet,キャビネット,4479
hug_from_behind,後ろから抱擁,4456
male_pubic_hair,男性陰毛,4454
bikini_top_lift,ビキニトップ持ち上げ,4448
ceiling,天井,4436
purple_skirt,紫スカート,4417
no_eyes,目無し,4397
bound_wrists,縛られた手首,4384
finger_to_mouth,指を口に,4382
jeans,ジーンズ,4377
under-rim_eyewear,アンダーリム眼鏡,4365
aqua_hair,アクア色の髪,4346
colored_skin,色付き肌,4343
striped_necktie,縞ネクタイ,4335
white_flower,白い花,4330
yellow_bra,黄色いブラ,4328
clock,時計,4327
tan,日焼け,4299
pov_hands,POVの手,4296
:<,不満顔,4288
elf,エルフ,4280
crossed_legs,足組み,4279
purple_bra,紫のブラジャー,4262
black_choker,黒チョーカー,4214
standing_sex,立位セックス,4207
facial_hair,顔の毛,4206
moon,月,4195
sailor_shirt,セーラーシャツ,4182
gauntlets,ガントレット,4174
rope,ロープ,4168
denim_shorts,デニムショーツ,4149
imminent_kiss,キス直前,4141
clenched_hand,握り拳,4141
frilled_apron,フリルエプロン,4141
lolita_fashion,ロリータファッション,4134
brother_and_sister,兄妹,4132
fingering_through_panties,パンティー越しに指を挿入する,4108
pregnant,妊娠中,4104
kitchen,キッチン,4095
blindfold,目隠し,4094
blush_stickers,赤面シール,4092
wristband,リストバンド,4085
low-tied_long_hair,低く結んだ長髪,4082
purple_ribbon,紫のリボン,4080
center_frills,センターフリル,4060
pink_bikini,ピンクのビキニ,4019
polka_dot_bra,水玉ブラ,4019
stomach,お腹,3989
black_hairband,黒ヘアバンド,3987
bridal_veil,ブライダルベール,3947
military,軍服,3944
red_neckerchief,赤ネッカチーフ,3941
thigh_boots,太ももブーツ,3941
cloudy_sky,曇り空,3937
single_hair_bun,単お団子,3935
heterochromia,虹彩異色症,3930
grinding,腰振り,3910
angry,怒り,3888
pussy_juice_stain,愛液の染み,3877
pee,おしっこ,3874
peeing,おしっこ,3865
chopsticks,箸,3862
dress_pull,ドレス引き,3854
precum,先走り液,3844
one-piece_swimsuit_pull,ワンピ水着引き,3839
suspender_skirt,サスペンダースカート,3825
necktie_between_breasts,胸間のネクタイ,3819
school,学校,3814
wariza,割座,3812
competition_swimsuit,競泳水着,3799
incoming_kiss,来るキス,3792
pout,ぷくっと,3784
v,Vサイン,3775
swept_bangs,流れ前髪,3769
blue_theme,青を基調とした,3762
frilled_sleeves,フリル袖,3757
tile_wall,タイル壁,3747
silhouette,シルエット,3744
pool,プール,3742
reflection,反射,3741
saliva_trail,唾液の跡,3740
mirror,鏡,3737
katana,刀,3734
armored_boots,装甲ブーツ,3719
text_focus,テキストに焦点,3718
open_kimono,開いた着物,3717
long_skirt,ロングスカート,3715
purple_bow,紫リボン,3696
eyepatch,眼帯,3670
crescent_hair_ornament,三日月形髪飾り,3668
lactation,授乳,3666
ascot,アスコットタイ,3660
demon_girl,悪魔娘,3647
happy,幸せ,3640
english_text,英語テキスト,3616
slippers,スリッパ,3615
lifted_by_self,自分で持ち上げて,3609
breasts_apart,胸を離して,3609
covering_crotch,股間を覆って,3606
dog_ears,犬耳,3602
:t,:t,3595
off-shoulder_shirt,オフショルダーシャツ,3594
female_orgasm,女性のオルガスム,3583
rape,レイプ,3567
two-footed_footjob,両足での足コキ,3558
tank_top,タンクトップ,3555
fox_ears,狐耳,3555
blue_sailor_collar,青セーラーカラー,3545
green_shirt,緑のシャツ,3545
layered_skirt,重ねスカート,3533
nightgown,ナイトガウン,3530
bandaged_arm,包帯を巻いた腕,3530
outstretched_arms,腕を広げて,3516
print_kimono,プリント着物,3507
black_headwear,黒頭部装飾,3506
hooded_jacket,フード付きジャケット,3505
open_bra,開いたブラ,3505
bisexual_female,両性愛女性,3503
chalkboard,黒板,3501
polka_dot_bikini,水玉ビキニ,3488
presenting,差し出して,3488
city,都市,3486
striped_bra,ストライプブラ,3483
shoulder_cutout,肩の切り抜き,3479
naked_shirt,シャツのみ,3476
against_glass,ガラスに押し付け,3474
feet_out_of_frame,足がフレーム外,3470
hood_up,フードアップ,3462
short_twintails,ショートツインテール,3461
symbol-shaped_pupils,記号形の瞳孔,3452
black_necktie,黒ネクタイ,3443
puffy_nipples,膨らんだ乳首,3407
bridal_gauntlets,花嫁ガントレット,3407
sheath,鞘,3406
crop_top,クロップトップ,3405
glowing,発光,3402
military_uniform,軍服,3377
underboob,アンダーブースト,3366
blue_one-piece_swimsuit,青いワンピース水着,3365
computer,コンピュータ,3343
striped_bowtie,縞蝶ネクタイ,3336
crescent,三日月,3321
squatting_cowgirl_position,しゃがみ騎乗位,3320
pink_flower,ピンクの花,3308
orange_eyes,オレンジの目,3299
green_skirt,緑スカート,3286
maid_apron,メイドエプロン,3285
gun,銃,3284
shadow,影,3280
french_kiss,ディープキス,3263
wing_hair_ornament,羽の髪飾り,3241
blue_footwear,青靴,3241
surprised,驚き,3231
red_jacket,赤ジャケット,3224
cat,猫,3222
brooch,ブローチ,3221
arm_held_back,腕を後ろに,3218
cum_in_ass,肛門内射精,3195
skirt_suit,スカートスーツ,3167
blanket,毛布,3160
sign,看板,3138
pom_pom_(clothes),ポンポン(服),3138
digital_dissolve,デジタル溶解,3136
zombie,ゾンビ,3129
leg_up,脚を上げて,3117
shimaidon_(sex),シマイドン（性行為）,3116
crown_braid,クラウンブレード,3112
reverse_upright_straddle,逆騎乗位,3097
sundress,サンドレス,3097
frilled_thighhighs,フリル付き太ももハイ,3095
full_moon,満月,3094
white_shorts,白いショーツ,3085
embarrassed,照れ,3081
microphone,マイク,3076
cuffs,袖口,3068
twins,双子,3067
arm_up,腕を上げて,3051
petals,花びら,3051
dildo,ディルド,3047
gothic_lolita,ゴシックロリータ,3042
fruit,果物,3023
blue_kimono,青い着物,3020
low_ponytail,ローポニーテール,3010
index_finger_raised,人差し指を上げて,3006
cropped_legs,脚がクロップ,3002
grey_shorts,灰色のショーツ,2999
reverse_cowgirl_position,逆騎乗位,2985
brown_belt,茶色のベルト,2980
flower_pot,植木鉢,2978
