Tag(English),Tag(Japanese)
aki_minoriko,秋穣子
aki_rosenthal,aki_rosenthal
aki_shizuha,秋静葉
akigumo_(kancolle),秋雲（艦隊これくしょん）
akimoto_komachi,秋元小町
akiyama_mio,秋山澪
akizuki_ritsuko,秋月律子
akuma_homura,アクマほむら
alarm_clock,目覚まし時計
albino,アルビノ
album_cover,アルバムカバー
alcohol,アルコール
alice_(alice_in_wonderland),アリス（不思議の国のアリス）
alice_(alice_in_wonderland)_(cosplay),アリス（不思議の国のアリス）（コスプレ）
alice_cartelet,アリス・カータレット
alice_margatroid,アリス・マーガトロイド
alien,エイリアン
alisa_ilinichina_amiella,アリサ・イリーニチナ・アミエラ
all_fours,四つん這い
alley,路地
alpaca_ears,アルパカ耳
alpaca_suri_(kemono_friends),アルパカ・スリ（けものフレンズ）
alphes_(style),アルフェス風
alternate_breast_size,代替乳房サイズ
alternate_color,代替カラー
alternate_costume,代替衣装
alternate_hairstyle,代替ヘアスタイル
alternate_weapon,代替武器
alternate_wings,代替翼
amagi_(kancolle),天城（艦隊これくしょん）
amami_haruka,天海春香
amamiya_ren,雨宮蓮
amane_kanata,天音かなた
amanogawa_kirara,天ノ川きらら
america,アメリカ
america_(hetalia),アメリカ（ヘタリア）
american_flag,アメリカ国旗
american_flag_bikini,アメリカ国旗ビキニ
american_flag_legwear,アメリカ国旗レッグウェア
american_flag_print,アメリカ国旗プリント
amestris_military_uniform,アメストリス軍服
amiya_(arknights),アーミヤ（アークナイツ）
ammunition_belt,弾薬ベルト
amplifier_(instrument),アンプ（楽器）
amputee,切断者
an-94_(girls'_frontline),AN-94（少女前線）
anal,アナル
anal_beads,アナルビーズ
anal_fingering,アナルフィンガリング
anal_object_insertion,アナルオブジェクト挿入
anal_tail,アナルテール
analog_clock,アナログ時計
anastasia_(idolmaster),アナスタシア（アイドルマスター）
anchor,アンカー
anchor_hair_ornament,アンカーヘア飾り
anchor_symbol,アンカーシンボル
anchovy_(girls_und_panzer),アンチョビ（ガールズ&パンツァー）
androgynous,中性
android,アンドロイド
ange_katrina,アンジュ・カトリーナ
angel,天使
angel_and_devil,天使と悪魔
angel_wings,天使の翼
angela_balzac,アンジェラ・バルザック
anger_vein,怒り血管
angora_rabbit,アンゴラウサギ
angry,怒り
anilingus,アニリングス
animal,動物
animal_bag,動物バッグ
animal_collar,動物用首輪
animal_costume,動物コスチューム
animal_ear_fluff,動物耳のふわふわ
animal_ears,動物耳
animal_focus,動物フォーカス
animal_hands,動物の手
animal_hat,動物帽子
animal_hood,動物フード
animal_hug,動物ハグ
animal_nose,動物の鼻
animal_on_arm,腕の上の動物
animal_on_head,頭の上の動物
animal_on_lap,膝の上の動物
animal_on_shoulder,肩の上の動物
animal_print,動物プリント
animal_slippers,動物スリッパ
animalization,動物化
anime_coloring,アニメ塗り
anjou_naruko,安城鳴子
ankh,アンク
ankle_boots,アンクルブーツ
ankle_cuffs,足首カフス
ankle_lace-up,足首の紐結び
ankle_ribbon,足首リボン
ankle_wrap,足首ラップ
anklet,アンクレット
anniversary,記念日
announcement_celebration,発表祝賀
annoyed,イライラ
antenna_hair,アンテナヘア
antennae,触角
anti-materiel_rifle,対物ライフル
antique_firearm,アンティーク銃
antlers,角
anus,肛門
anus_peek,肛門のぞき
aoba_(kancolle),青葉（艦隊これくしょん）
aoba_moca,青葉モカ
aoki_reika,青木れいか
apple,リンゴ
applying_makeup,化粧を塗る
april_fools,エイプリルフール
apron,エプロン
apron_lift,エプロン持ち上げ
aqua_background,水色背景
aqua_bikini,水色ビキニ
aqua_bow,水色ボウ
aqua_bra,水色ブラ
aqua_eyes,水色の目
aqua_footwear,水色履物
aqua_hair,水色の髪
aqua_jacket,水色ジャケット
aqua_nails,水色ネイル
aqua_neckerchief,水色ネッカチーフ
aqua_panties,水色パンティ
aqua_ribbon,水色リボン
aqua_shirt,水色シャツ
aqua_skirt,水色スカート
aqua_theme,水色テーマ
aquarium,水族館
aquila_(kancolle),アクィラ（艦隊これくしょん）
ar-15,AR-15
ara_haan,あらはーん
araki_hirohiko_(style),荒木飛呂彦風
aran_sweater,アランセーター
araragi_koyomi,阿良々木暦
araragi_tsukihi,阿良々木月火
arashi_(kancolle),嵐（艦隊これくしょん）
arch,アーチ
arch_bishop_(ragnarok_online),アークビショップ（ラグナロクオンライン）
arched_back,反り返った背中
archery,アーチェリー
architecture,建築
arcueid_brunestud,アルクェイド・ブリュンスタッド
areola_slip,乳輪スリップ
areolae,乳輪
argyle,アーガイル
argyle_background,アーガイル背景
argyle_legwear,アーガイルレッグウェア
aria_company_uniform,ARIAカンパニー制服
arm_around_neck,首に腕
arm_around_waist,腰に腕
arm_at_side,横に腕
arm_behind_back,後ろに腕
arm_behind_head,頭の後ろに腕
arm_belt,アームベルト
arm_between_breasts,胸の間に腕
arm_cannon,アームキャノン
arm_garter,アームガーター
arm_grab,腕をつかむ
arm_guards,アームガード
arm_held_back,腕を後ろに
arm_hug,腕でハグ
arm_rest,アームレスト
arm_ribbon,腕リボン
arm_strap,アームストラップ
arm_support,腕サポート
arm_tattoo,腕のタトゥー
arm_under_breasts,胸の下に腕
arm_up,腕を上げる
arm_warmers,アームウォーマー
arm_wrap,腕ラップ
armband,腕章
armchair,アームチェア
armlet,アームレット
armor,鎧
armored_boots,装甲ブーツ
armored_dress,装甲ドレス
armpit_peek,脇のぞき
armpit_sex,脇セックス
armpits,脇
arms_around_neck,首に腕
arms_at_sides,横に腕
arms_behind_back,後ろに腕
arms_behind_head,頭の後ろに腕
arms_under_breasts,胸の下に腕
arms_up,腕を上げる
arrow_(projectile),矢（飛道具）
arrow_(symbol),矢印（記号）
arrow_through_heart,ハートを貫く矢
art_brush,絵筆
arthropod_girl,節足動物少女
artificial_vagina,人工膣
artist_name,作家名
artoria_pendragon_(fate),アルトリア・ペンドラゴン（Fate）
artoria_pendragon_(lancer)_(fate),アルトリア・ペンドラゴン（ランサー）（Fate）
artoria_pendragon_(swimsuit_ruler)_(fate),アルトリア・ペンドラゴン（水着ルーラー）（Fate）
asa_no_ha_(pattern),麻の葉模様
asahina_mikuru,朝比奈みくる
asakaze_(kancolle),朝風（艦隊これくしょん）
asakura_ryouko,朝倉涼子
asamiya_athena,麻宮アテナ
asashimo_(kancolle),朝霜（艦隊これくしょん）
asashio_(kancolle),朝潮（艦隊これくしょん）
ascot,アスコット
ashiya_douman_(fate),蘆屋道満（Fate）
asphyxiation,窒息
ass,お尻
ass-to-ass,お尻同士
ass_cutout,お尻カットアウト
ass_focus,お尻フォーカス
ass_grab,お尻をつかむ
ass_visible_through_thighs,太もも越しのお尻
assault_rifle,アサルトライフル
assertive_female,積極的な女性
assisted_exposure,補助露出
astolfo_(fate),アストルフォ（Fate）
astronaut,宇宙飛行士
asuna_(sao),アスナ（ソードアート・オンライン）
asymmetrical_bangs,非対称の前髪
asymmetrical_docking,非対称ドッキング
asymmetrical_hair,非対称の髪
asymmetrical_legwear,非対称レッグウェア
asymmetrical_wings,非対称の翼
atago_(azur_lane),愛宕（アズールレーン）
atago_(kancolle),愛宕（艦隊これくしょん）
atago_(stunning_speedster)_(azur_lane),愛宕（スタニングスピードスター）（アズールレーン）
athletic_leotard,アスレチックレオタード
attack,攻撃
audience,観客
aura,オーラ
aurora,オーロラ
autumn,秋
autumn_leaves,紅葉
aviator_sunglasses,アビエイターサングラス
axe,斧
ayanami_(azur_lane),綾波（アズールレーン）
ayanami_rei,綾波レイ
ayase_eli,絢瀬絵里
baby,赤ちゃん
babydoll,ベビードール
back,背中
back-print_panties,後ろプリントパンティ
back-seamed_legwear,後ろシームレッグウェア
back-to-back,背中合わせ
back_bow,後ろボウ
back_tattoo,背中のタトゥー
backboob,背中胸
backless_dress,バックレスドレス
backless_outfit,バックレス衣装
backlighting,バックライト
backpack,バックパック
backwards_hat,後ろ向き帽子
bad_end,バッドエンド
bad_feet,足が悪い
badge,バッジ
bag,バッグ
bag_charm,バッグチャーム
bagged_fish,袋入り魚
baggy_clothes,バギークロス
bags_under_eyes,目の下のクマ
baguette,バゲット
balcony,バルコニー
bald,ハゲ
ball,ボール
ball_and_chain_restraint,鎖玉拘束
ball_gag,ボールギャグ
ballerina,バレリーナ
ballet,バレエ
ballet_slippers,バレエシューズ
balloon,風船
bamboo,竹
bamboo_broom,竹ほうき
bamboo_forest,竹林
bamboo_steamer,せいろ
banana,バナナ
bandage_on_face,顔の包帯
bandage_over_one_eye,片目包帯
bandaged_arm,包帯を巻いた腕
bandaged_hand,包帯を巻いた手
bandaged_head,包帯を巻いた頭
bandaged_leg,包帯を巻いた足
bandaged_neck,包帯を巻いた首
bandages,包帯
bandaid,バンドエイド
bandaid_on_arm,腕のバンドエイド
bandaid_on_cheek,頬のバンドエイド
bandaid_on_face,顔のバンドエイド
bandaid_on_forehead,額のバンドエイド
bandaid_on_hand,手のバンドエイド
bandaid_on_knee,膝のバンドエイド
bandaid_on_leg,足のバンドエイド
bandaid_on_nose,鼻のバンドエイド
bandaid_on_pussy,マンコのバンドエイド
bandaids_on_nipples,乳首のバンドエイド
bandana,バンダナ
bandeau,バンドゥ
bangle,バングル
bangs,前髪
bangs_pinned_back,前髪を留める
banner,バナー
baozi,包子
bar,バー
bar_censor,棒規制
bara,バラ
barbara_(genshin_impact),バーバラ（原神）
barbed_wire,有刺鉄線
barcode,バーコード
barcode_tattoo,バーコードタトゥー
bare_arms,素腕
bare_back,背中露出
bare_legs,素足
bare_shoulders,素肩
bare_tree,葉のない木
barefoot,裸足
barnaby_brooks_jr.,バーナビー・ブルックスJr.
barrel,バレル
bartender,バーテンダー
baseball,野球
baseball_bat,野球バット
baseball_cap,野球帽
baseball_mitt,野球ミット
baseball_uniform,野球ユニフォーム
basket,バスケット
basketball,バスケットボール
basketball_uniform,バスケットボールユニフォーム
bass_clef,低音部記号
bass_guitar,ベースギター
bat,バット
bat_ears,コウモリ耳
bat_hair_ornament,コウモリ髪飾り
bat_print,コウモリプリント
bat_wings,コウモリの翼
bath,風呂
bath_stool,風呂椅子
bath_yukata,浴衣
bathhouse,銭湯
bathing,入浴中
bathroom,バスルーム
bathtub,バスタブ
baton_(instrument),バトン（楽器）
battle,戦闘
battle_axe,戦斧
battle_rifle,バトルライフル
battleship,戦艦
battleship_princess,戦艦姫
bazett_fraga_mcremitz,バゼット・フラガ・マクレミッツ
bb_(fate),BB（Fate）
bb_(swimsuit_mooncancer)_(fate),BB（水着ムーンキャンサー）（Fate）
bdsm,BDSM
beach,ビーチ
beach_chair,ビーチチェア
beach_towel,ビーチタオル
beach_umbrella,ビーチパラソル
beachball,ビーチボール
bead_bracelet,ビーズブレスレット
bead_necklace,ビーズネックレス
beads,ビーズ
beak,くちばし
beam,ビーム
beam_rifle,ビームライフル
beam_saber,ビームサーベル
beamed_eighth_notes,連桁付き八分音符
beamed_sixteenth_notes,連桁付き十六分音符
beanie,ビーニー
beans,豆
bear,クマ
bear_costume,クマコスチューム
bear_ears,クマ耳
bear_girl,クマ少女
bear_hair_ornament,クマ髪飾り
bear_panties,クマパンティ
bear_print,クマプリント
bear_tail,クマの尾
beard,ひげ
beatrice_(umineko),ベアトリーチェ（うみねこ）
beckoning,手招き
bed,ベッド
bed_sheet,シーツ
bedroom,寝室
bee,蜂
beer,ビール
beer_can,ビール缶
beer_mug,ビールジョッキ
beetle,カブトムシ
beige_jacket,ベージュジャケット
beige_sweater,ベージュセーター
belfast_(azur_lane),ベルファスト（アズールレーン）
bell,ベル
belly_grab,お腹をつかむ
belt,ベルト
belt_boots,ベルトブーツ
belt_buckle,ベルトバックル
belt_collar,ベルトカラー
belt_pouch,ベルトポーチ
bench,ベンチ
bendy_straw,曲がるストロー
bent_over,前かがみ
bento,弁当
beret,ベレー帽
beretta_92,ベレッタ92
berry,ベリー
bespectacled,眼鏡をかけた
bestiality,獣姦
between_breasts,胸の間
between_legs,足の間
between_toes,指の間
bibi_(tokoyami_towa),ビビ（常闇トワ）
biceps,上腕二頭筋
bicorne,二角帽
bicycle,自転車
bicycle_basket,自転車カゴ
big_belly,大きなお腹
bike_shorts,バイクショーツ
bike_shorts_under_skirt,スカート下のバイクショーツ
bikini,ビキニ
bikini_armor,ビキニアーマー
bikini_aside,ビキニをずらす
bikini_bottom,ビキニボトム
bikini_lift,ビキニを持ち上げる
bikini_pull,ビキニを引っ張る
bikini_shorts,ビキニショーツ
bikini_skirt,ビキニスカート
bikini_tan,ビキニ焼け
bikini_top,ビキニトップ
bikini_top_removed,ビキニトップを脱ぐ
bikini_under_clothes,服の下のビキニ
binoculars,双眼鏡
bird,鳥
bird_on_hand,手の上の鳥
bird_on_head,頭の上の鳥
bird_on_shoulder,肩の上の鳥
bird_tail,鳥の尾
bird_wings,鳥の翼
birdcage,鳥かご
biribiri,ビリビリ
birthday,誕生日
birthday_cake,誕生日ケーキ
birthmark,あざ
bisexual_female,バイセクシュアル女性
bishop_(chess),ビショップ（チェス）
bishounen,美少年
bit_gag,ビットギャグ
bite_mark,噛み跡
biting,噛む
black-framed_eyewear,黒縁眼鏡
black_apron,黒エプロン
black_armor,黒い鎧
black_background,黒背景
black_bag,黒いバッグ
black_belt,黒いベルト
black_bikini,黒ビキニ
black_blindfold,黒い目隠し
black_bodysuit,黒ボディスーツ
black_border,黒い枠
black_bow,黒いボウ
black_bowtie,黒い蝶ネクタイ
black_bra,黒いブラ
black_cape,黒いケープ
black_capelet,黒いケープレット
black_cat,黒猫
black_choker,黒いチョーカー
black_cloak,黒いマント
black_coat,黒いコート
black_collar,黒いカラー
black_dress,黒いドレス
black_eyepatch,黒い眼帯
black_eyes,黒い目
black_feathers,黒い羽
black_flower,黒い花
black_footwear,黒い履物
black_fur,黒い毛皮
black_garter_belt,黒いガーターベルト
black_gloves,黒い手袋
black_hair,黒い髪
black_hairband,黒いヘアバンド
black_hakama,黒い袴
black_headwear,黒いヘッドウェア
black_heart,黒いハート
black_hoodie,黒いフーディ
black_jacket,黒いジャケット
black_kimono,黒い着物
black_legwear,黒いレッグウェア
black_leotard,黒いレオタード
black_nails,黒い爪
black_necktie,黒いネクタイ
black_neckwear,黒いネックウェア
black_panties,黒いパンティ
black_pants,黒いパンツ
black_ribbon,黒いリボン
black_rock_shooter_(character),ブラック★ロックシューター
black_rose,黒いバラ
black_sailor_collar,黒いセーラーカラー
black_scarf,黒いスカーフ
black_sclera,黒い強膜
black_scrunchie,黒いスクランチ
black_serafuku,黒いセーラー服
black_shirt,黒いシャツ
black_shorts,黒いショーツ
black_skin,黒い肌
black_skirt,黒いスカート
black_sleeves,黒い袖
black_suit,黒いスーツ
black_sweater,黒いセーター
black_swimsuit,黒い水着
black_tank_top,黒いタンクトップ
black_theme,黒いテーマ
black_umbrella,黒い傘
black_vest,黒いベスト
black_wings,黒い翼
blanc_(neptune_series),ブラン（ネプテューヌシリーズ）
blank_censor,空白規制
blank_eyes,空白の目
blank_speech_bubble,空白の吹き出し
blanket,毛布
blazer,ブレザー
bleeding,出血
blindfold,目隠し
blinds,ブラインド
blob,ブロブ
blonde_hair,金髪
blonde_pubic_hair,金髪の陰毛
blood,血
blood_from_eyes,目から血
blood_from_mouth,口から血
blood_on_clothes,服の血
blood_on_face,顔の血
blood_on_hands,手の血
blood_on_knife,ナイフの血
blood_on_weapon,武器の血
blood_splatter,血飛沫
blood_stain,血痕
bloom,花
bloomers,ブルマ
blouse,ブラウス
blowing_kiss,投げキッス
blue-framed_eyewear,青縁眼鏡
blue_apron,青エプロン
blue_background,青背景
blue_bikini,青ビキニ
blue_bodysuit,青ボディスーツ
blue_border,青い枠
blue_bow,青いボウ
blue_bowtie,青い蝶ネクタイ
blue_bra,青いブラ
blue_buruma,青ブルマ
blue_butterfly,青い蝶
blue_cape,青いケープ
blue_capelet,青いケープレット
blue_choker,青いチョーカー
blue_collar,青いカラー
blue_dress,青いドレス
blue_eyes,青い目
blue_eyeshadow,青いアイシャドウ
blue_feathers,青い羽
blue_fire,青い炎
blue_flower,青い花
blue_footwear,青い履物
blue_gloves,青い手袋
blue_hair,青い髪
blue_hairband,青いヘアバンド
blue_hakama,青い袴
blue_headband,青いヘアバンド
blue_headwear,青いヘッドウェア
blue_hoodie,青いフーディ
blue_jacket,青いジャケット
blue_kimono,青い着物
blue_legwear,青いレッグウェア
blue_leotard,青いレオタード
blue_nails,青い爪
blue_neckerchief,青いネッカチーフ
blue_necktie,青いネクタイ
blue_neckwear,青いネックウェア
blue_panties,青いパンティ
blue_pants,青いパンツ
blue_ribbon,青いリボン
blue_rose,青いバラ
blue_sailor_collar,青いセーラーカラー
blue_sarong,青いサロン
blue_scarf,青いスカーフ
blue_scrunchie,青いスクランチ
blue_serafuku,青いセーラー服
blue_shirt,青いシャツ
blue_shorts,青いショーツ
blue_skin,青い肌
blue_skirt,青いスカート
blue_sky,青空
blue_sweater,青いセーター
blue_swimsuit,青い水着
blue_theme,青いテーマ
blue_umbrella,青い傘
blue_vest,青いベスト
blue_wings,青い翼
blueberry,ブルーベリー
blunt_bangs,ストレート前髪
blur_censor,ぼかし規制
blurry,ぼやけた
blurry_background,ぼやけた背景
blurry_foreground,ぼやけた前景
blush,赤面
blush_stickers,赤面ステッカー
boar,猪
board_game,ボードゲーム
boat,ボート
bob_cut,ボブカット
bobblehat,ボブルハット
bobby_socks,ボビーソックス
body_blush,体の赤面
body_hair,体毛
body_markings,体の模様
body_writing,ボディライティング
bodypaint,ボディペイント
bodysuit,ボディスーツ
bokeh,ボケ
bokken,木刀
boko_(girls_und_panzer),ボコ（ガールズ&パンツァー）
bolt,ボルト
bolt_action,ボルトアクション
bomb,爆弾
bomber_jacket,ボンバージャケット
bondage,ボンデージ
bondage_outfit,ボンデージ衣装
bone,骨
bone_hair_ornament,骨髪飾り
boned_meat,骨付き肉
bonnet,ボンネット
boo_(mario),テレサ（マリオ）
book,本
book_stack,本の山
bookbag,ブックバッグ
bookmark,ブックマーク
bookshelf,本棚
boots,ブーツ
border,枠
bored,退屈
bottle,ボトル
bottomless,ノーパン
bouncing_breasts,揺れる胸
bound,縛られた
bound_ankles,足首を縛られた
bound_arms,腕を縛られた
bound_legs,足を縛られた
bound_wrists,手首を縛られた
bouquet,ブーケ
bow,弓
bow_(instrument),ボウ（楽器）
bow_(weapon),弓（武器）
bow_bikini,ボウビキニ
bow_bra,ボウブラ
bow_hairband,ボウヘアバンド
bow_panties,ボウパンティ
bowl,ボウル
bowl_cut,ボウルカット
bowser,クッパ
bowsette,クッパ姫
bowtie,蝶ネクタイ
box,箱
box_tie,ボックスタイ
boxcutter,カッター
boxers,ボクサーパンツ
boy_on_top,男が上
bra,ブラジャー
bra_lift,ブラを持ち上げる
bra_peek,ブラのぞき
bra_pull,ブラを引っ張る
bra_removed,ブラを脱ぐ
bra_strap,ブラストラップ
bra_visible_through_clothes,服越しのブラ
bracelet,ブレスレット
braid,編み込み
braided_bangs,編み込み前髪
braided_bun,編み込みバン
braided_ponytail,編み込みポニーテール
braiding_hair,髪を編む
branch,枝
brand_name_imitation,ブランド名模倣
bread,パン
breast_bondage,胸のボンデージ
breast_envy,胸の羨望
breast_focus,胸フォーカス
breast_grab,胸をつかむ
breast_hold,胸をホールド
breast_lift,胸を持ち上げる
breast_milk,母乳
breast_pocket,胸ポケット
breast_press,胸を押す
breast_slip,胸スリップ
breast_smother,胸で覆う
breast_squeeze,胸を絞る
breast_sucking,胸を吸う
breast_suppress,胸を抑える
breast_tattoo,胸のタトゥー
breastfeeding,母乳育児
breastless_clothes,胸なし服
breastplate,胸当て
breasts,胸
breasts_apart,胸を離す
breasts_on_glass,ガラスに胸
breasts_outside,胸を露出
breath,息
breathing_fire,火を吐く
bremerton_(azur_lane),ブレマートン（アズールレーン）
bremerton_(scorching-hot_training)_(azur_lane),ブレマートン（灼熱の訓練）（アズールレーン）
brick,レンガ
brick_floor,レンガ床
brick_wall,レンガ壁
bridal_gauntlets,花嫁のガントレット
bridal_veil,花嫁のベール
bride,花嫁
bridge,橋
briefcase,ブリーフケース
briefs,ブリーフ
broken,壊れた
broken_armor,壊れた鎧
broken_chain,壊れた鎖
broken_glass,割れたガラス
broken_heart,壊れたハート
broken_weapon,壊れた武器
broken_window,割れた窓
bronya_zaychik,ブローニャ・ザイチク
brooch,ブローチ
broom,ほうき
broom_riding,ほうきに乗る
brother_and_sister,兄妹
brothers,兄弟
brown-framed_eyewear,茶縁眼鏡
brown_apron,茶色エプロン
brown_background,茶色背景
brown_bag,茶色バッグ
brown_bear_(kemono_friends),ヒグマ（けものフレンズ）
brown_belt,茶色ベルト
brown_bow,茶色ボウ
brown_bowtie,茶色蝶ネクタイ
brown_bra,茶色ブラ
brown_cardigan,茶色カーディガン
brown_choker,茶色チョーカー
brown_coat,茶色コート
brown_collar,茶色カラー
brown_dress,茶色ドレス
brown_eyes,茶色の目
brown_footwear,茶色履物
brown_gloves,茶色手袋
brown_hair,茶色の髪
brown_headwear,茶色ヘッドウェア
brown_hoodie,茶色フーディ
brown_jacket,茶色ジャケット
brown_kimono,茶色着物
brown_legwear,茶色レッグウェア
brown_panties,茶色パンティ
brown_pants,茶色パンツ
brown_ribbon,茶色リボン
brown_scarf,茶色スカーフ
brown_shirt,茶色シャツ
brown_shorts,茶色ショーツ
brown_skirt,茶色スカート
brown_sweater,茶色セーター
brown_theme,茶色テーマ
brown_vest,茶色ベスト
brown_wings,茶色の翼
bruise,あざ
bruise_on_face,顔のあざ
brushing_teeth,歯磨き
bubble,泡
bubble_blowing,シャボン玉
bubble_tea,バブルティー
bubble_tea_challenge,バブルティーチャレンジ
bucket,バケツ
buckle,バックル
budget_sarashi,簡易さらし
bug,バグ
building,建物
bukkake,ぶっかけ
bulbasaur,フシギダネ
bulge,膨らみ
bullet,弾丸
bullet_hole,弾痕
bulletin_board,掲示板
bullpup,ブルパップ
bun_cover,バンカバー
bunny,バニー
bunny_costume,バニーコスチューム
bunny_hair_ornament,バニーヘア飾り
bunny_hood,バニーフード
bunny_on_head,頭の上のバニー
bunny_pose,バニーポーズ
bunny_print,バニープリント
burger,ハンバーガー
burn_scar,火傷跡
burning,燃焼
burnt_clothes,焼けた服
bursting_breasts,はちきれそうな胸
buruma,ブルマ
buruma_aside,ブルマをずらす
buruma_pull,ブルマを引っ張る
bus_stop,バス停
bush,茂み
business_suit,ビジネススーツ
bustier,ビスチェ
butler,執事
butt_crack,尻の割れ目
butt_plug,バットプラグ
butter,バター
butterfly,蝶
butterfly_hair_ornament,蝶髪飾り
butterfly_net,虫取り網
butterfly_on_hand,手の上の蝶
butterfly_print,蝶プリント
butterfly_sitting,蝶が止まる
butterfly_wings,蝶の翼
buttjob,尻フェラ
button_gap,ボタンの隙間
buttons,ボタン
buzz_cut,バズカット
byleth_(fire_emblem),ベレト（ファイアーエムブレム）
byleth_(fire_emblem)_(male),ベレト（ファイアーエムブレム）（男性）
cabbie_hat,キャビーハット
cable,ケーブル
cactus,サボテン
caesar_(girls_und_panzer),カエサル（ガールズ&パンツァー）
caesar_anthonio_zeppeli,シーザー・アントニオ・ツェペリ
cafe,カフェ
cage,ケージ
cake,ケーキ
cake_slice,ケーキの一切れ
calendar_(medium),カレンダー（媒体）
calendar_(object),カレンダー（物体）
calico,三毛猫
callie_(splatoon),アオリ（スプラトゥーン）
calligraphy_brush,筆
camcorder,カムコーダ
camellia,椿
cameltoe,キャメルトゥ
cameo,カメオ
camera,カメラ
camera_phone,カメラ付き携帯
camisole,キャミソール
camouflage,迷彩
camouflage_headwear,迷彩ヘッドウェア
camouflage_jacket,迷彩ジャケット
camouflage_pants,迷彩パンツ
campfire,キャンプファイヤー
can,缶
candle,ろうそく
candlelight,ろうそくの光
candlestand,燭台
candy,キャンディ
candy_apple,キャンディアップル
candy_cane,キャンディケーン
candy_hair_ornament,キャンディ髪飾り
candy_wrapper,キャンディの包装
cane,杖
cannon,大砲
canopy_bed,キャノピーベッド
canvas_(object),キャンバス（物体）
cape,ケープ
capelet,ケープレット
capri_pants,カプリパンツ
car,車
car_interior,車内
card,カード
card_(medium),カード（媒体）
card_parody,カードパロディ
cardboard_box,段ボール箱
cardigan,カーディガン
cardigan_around_waist,腰に巻いたカーディガン
cardigan_vest,カーディガンベスト
caren_hortensia,カレン・オルテンシア
caressing_testicles,精巣を愛撫
carpaccio_(girls_und_panzer),カルパッチョ（ガールズ&パンツァー）
carpet,絨毯
carrot,ニンジン
carrot_hair_ornament,髪飾り（ニンジン）
carrying,運んでいる
carrying_over_shoulder,肩に担ぐ
cartridge,カートリッジ
casing_ejection,薬莢排出
cast,ギプス
castle,城
casual,カジュアル
